arm,subject,file_name,gesture,n,dist_to_gesture_median,robust_z
right arm,subject06,subject06_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.03925861418247223,-1.0855553150177002
right arm,subject06,subject06_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.036416660994291306,-1.131718397140503
right arm,subject06,subject06_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.03200173005461693,-1.2034320831298828
right arm,subject06,subject06_session05_relabeled_first_gesture_dropped_filtered.npz,right_turn,411,0.030775725841522217,-1.2233467102050781
right arm,subject06,subject06_session06_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.02965751849114895,-1.2415101528167725
right arm,subject06,subject06_session07_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.03232524171471596,-1.1981772184371948
right arm,subject06,subject06_session08_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.03402888774871826,-1.170504093170166
right arm,subject07,subject07_session01_filtered.npz,right_turn,410,0.2375667691230774,2.135653495788574
right arm,subject07,subject07_session02_filtered.npz,right_turn,410,0.2501472532749176,2.3400039672851562
right arm,subject07,subject07_session03_filtered.npz,right_turn,410,0.14188817143440247,0.5815028548240662
right arm,subject07,subject07_session04_filtered.npz,right_turn,410,0.12915007770061493,0.37459227442741394
right arm,subject07,subject07_session05_filtered.npz,right_turn,410,0.14805562794208527,0.6816836595535278
right arm,subject07,subject07_session06_filtered.npz,right_turn,410,0.27124881744384766,2.6827661991119385
right arm,subject07,subject07_session07_filtered.npz,right_turn,410,0.19371971487998962,1.4234260320663452
right arm,subject07,subject07_session08_filtered.npz,right_turn,410,0.21668361127376556,1.7964389324188232
right arm,subject08,subject08_session01_filtered.npz,right_turn,410,0.08492063730955124,-0.34384647011756897
right arm,subject08,subject08_session02_filtered.npz,right_turn,410,0.06412563472986221,-0.6816290616989136
right arm,subject08,subject08_session03_filtered.npz,right_turn,410,0.08755314350128174,-0.3010854721069336
right arm,subject08,subject08_session04_filtered.npz,right_turn,410,0.08217135071754456,-0.38850438594818115
